name,iso_country,iso_region,scheduled_service,iata_code
Utirik Airport,MH,MH-UTI,yes,UTK
Nunapitchuk Airport,US,US-AK,yes,NUP
Port Protection Seaplane Base,US,US-AK,yes,PPV
Blakely Island Airport,US,US-WA,yes,BYW
Atmautluak Airport,US,US-AK,yes,ATT
Pedro Bay Airport,US,US-AK,yes,PDB
Ouzinkie Airport,US,US-AK,yes,KOZ
Tununak Airport,US,US-AK,yes,TNK
Hyder Seaplane Base,US,US-AK,yes,WHD
Minto Al Wright Airport,US,US-AK,yes,MNT
Aleknagik / New Airport,US,US-AK,yes,WKK
Ketchikan Harbor Seaplane Base,US,US-AK,yes,WFB
Lake Brooks Seaplane Base,US,US-AK,yes,BKF
New York Skyports Inc Seaplane Base,US,US-NY,yes,NYS
Center Island Airport,US,US-WA,yes,CWS
Tatitlek Airport,US,US-AK,yes,TEK
Stuart Island Airpark,US,US-WA,yes,SSW
Waldron Airstrip,US,US-WA,yes,WDN
Whale Pass Seaplane Float Harbor Facility,US,US-AK,yes,WWP
Chuathbaluk Airport,US,US-AK,yes,CHU
Levelock Airport,US,US-AK,yes,KLL
Tuntutuliak Airport,US,US-AK,yes,WTL
Twin Hills Airport,US,US-AK,yes,TWA
Chignik Lake Airport,US,US-AK,yes,KCQ
Afutara Aerodrome,SB,SB-ML,yes,AFT
Uru Harbour Airport,SB,SB-ML,yes,ATD
Gwaunaru'u Airport,SB,SB-ML,yes,AKS
Bellona/Anua Airport,SB,SB-RB,yes,BNY
Choiseul Bay Airport,SB,SB-CH,yes,CHY
Ballalae Airport,SB,SB-WE,yes,BAS
Fera/Maringe Airport,SB,SB-IS,yes,FRE
Honiara International Airport,SB,SB-GU,yes,HIR
Babanakira Airport,SB,SB-GU,yes,MBU
Ngorangora Airport,SB,SB-MK,yes,IRA
Santa Cruz/Graciosa Bay/Luova Airport,SB,SB-TE,yes,SCZ
Munda Airport,SB,SB-WE,yes,MUA
Nusatupe Airport,SB,SB-WE,yes,GZO
Mono Airport,SB,SB-WE,yes,MNY
Rennell/Tingoa Airport,SB,SB-RB,yes,RNL
Santa Ana Airport,SB,SB-MK,yes,NNB
Marau Airport,SB,SB-GU,yes,RUS
Suavanao Airport,SB,SB-IS,yes,VAO
Yandina Airport,SB,SB-CE,yes,XYA
Kaghau Airport,SB,SB-CH,yes,KGE
Manaoba Airport,SB,SB-ML,yes,MHM
Gatokae Aerodrome,SB,SB-WE,yes,GTA
Ramata Airport,SB,SB-WE,yes,RBV
Ailinglaplap Airok Airport,MH,MH-ALL,yes,AIC
Naukati Bay Seaplane Base,US,US-AK,yes,NKI
Amook Bay Seaplane Base,US,US-AK,yes,AOS
Alitak Seaplane Base,US,US-AK,yes,ALZ
Mar de Cortés International Airport,MX,MX-SON,yes,PPE
Nauru International Airport,NR,NR-14,yes,INU
Aitape Airport,PG,PG-SAN,yes,ATP
Gruyere Airport,AU,AU-WA,yes,GYZ
Karara Airport,AU,AU-WA,yes,KQR
